genre,budget_million,director_score,cast_popularity,runtime_minutes,release_month,marketing_spend,is_sequel,box_office_hit
Thriller,37.18,6.34,68.26,121,6,8.59,0,1
Romance,54.76,5.06,60.44,115,5,14.11,1,1
Sci-Fi,68.77,3.26,53.74,161,7,19.76,0,0
Horror,40.72,3.8,17.17,86,1,0.09,1,0
Thriller,63.7,5.19,33.06,145,11,12.57,0,0
Romance,30.14,7.55,48.44,163,2,9.56,1,1
Romance,39.11,7.19,79.24,133,11,19.85,1,1
Romance,38.55,5.2,20.88,115,12,17.52,0,0
Sci-Fi,14.12,4.35,48.73,109,9,13.74,1,0
Drama,64.61,4.78,11.22,106,1,11.45,0,0
Drama,35.92,8.31,47.36,139,12,10.33,0,1
Sci-Fi,50.37,2.95,26.57,146,4,10.1,1,0
Drama,64.42,6.03,45.92,116,8,3.56,1,0
Action,63.4,4.91,8.94,112,1,7.12,1,0
Drama,69.96,7.27,26.6,122,2,9.73,0,0
Comedy,47.05,5.5,64.64,159,9,11.44,1,1
Horror,37.3,3.4,43.43,162,11,10.37,0,0
Romance,47.61,9.07,48.28,85,3,8.21,0,1
Horror,1.0,6.35,50.98,156,6,11.65,0,0
Fantasy,6.59,6.23,50.64,170,1,20.49,1,1
Fantasy,10.32,3.11,35.89,86,11,15.91,0,0
Horror,20.08,5.25,75.7,137,9,16.32,0,1
Action,61.99,4.43,94.83,101,11,14.37,1,1
Comedy,22.84,5.72,35.59,111,3,20.09,0,0
Horror,38.66,2.14,57.6,100,10,10.6,1,0
Thriller,88.98,6.15,66.08,144,4,16.95,0,1
Thriller,39.31,7.56,60.86,165,9,11.51,0,1
Fantasy,72.13,4.8,58.82,161,11,0.0,1,0
Action,21.99,6.44,51.75,172,1,12.14,1,0
Fantasy,43.84,3.82,51.95,160,2,11.98,0,0
Romance,21.5,9.26,47.8,83,1,0.0,0,0
Drama,39.83,3.86,72.16,151,12,7.73,1,0
Action,75.21,5.52,39.0,86,11,12.72,1,0
Comedy,1.0,4.29,26.31,118,9,4.02,0,0
Romance,63.03,4.03,35.66,87,1,10.63,0,0
Action,57.13,9.08,70.98,158,5,11.61,0,1
Comedy,32.18,8.86,31.56,97,12,14.47,1,1
Drama,6.62,4.93,70.09,98,5,17.36,0,0
Romance,52.16,10.0,54.34,95,2,0.43,0,1
Fantasy,34.12,8.16,46.94,172,5,14.79,1,1
Comedy,56.98,7.99,44.74,144,10,17.12,0,1
Action,50.66,5.97,51.71,114,8,2.85,1,0
Romance,98.05,8.34,64.28,133,1,3.11,1,1
Fantasy,42.82,6.21,41.01,118,11,12.93,0,0
Romance,19.3,3.99,26.62,146,11,1.07,0,0
Comedy,55.38,5.92,78.51,161,9,8.04,0,1
Thriller,56.6,5.08,84.56,170,9,11.5,0,1
Fantasy,90.78,3.5,67.48,142,3,14.68,0,1
Fantasy,75.05,7.99,58.18,136,7,4.19,0,1
Horror,60.71,6.32,62.48,99,4,4.68,0,0
Sci-Fi,93.9,5.83,35.01,123,2,7.95,0,0
Horror,14.34,9.48,43.35,113,10,14.27,0,1
Sci-Fi,30.81,6.32,94.73,129,6,6.37,1,1
Comedy,22.2,8.46,29.06,103,5,10.84,0,0
Fantasy,38.31,3.88,55.4,124,3,12.06,1,0
Fantasy,8.7,4.42,43.61,107,9,7.87,0,0
Comedy,69.05,6.0,48.37,95,10,8.0,1,0
Sci-Fi,43.33,6.19,40.39,98,1,4.99,0,0
Drama,5.88,6.59,40.38,108,10,12.23,1,0
Fantasy,19.53,8.0,21.22,139,5,12.1,0,0
Horror,59.41,10.0,60.04,83,12,12.18,0,1
Fantasy,75.14,2.77,42.26,161,5,7.19,0,0
Comedy,109.9,4.77,51.94,105,6,13.74,0,1
Fantasy,137.42,6.8,64.37,176,7,0.0,1,1
Sci-Fi,62.43,9.9,27.01,97,10,14.1,0,1
Thriller,20.31,5.55,42.51,86,1,17.7,1,0
Comedy,1.0,5.96,33.27,178,11,6.19,1,0
Fantasy,58.03,5.18,49.94,149,9,8.57,0,0
Sci-Fi,25.61,7.06,49.96,153,12,19.87,0,1
Thriller,37.54,5.94,46.59,154,6,4.59,1,0
Romance,31.64,7.63,83.51,113,11,9.04,0,1
Action,45.78,8.45,63.25,104,3,13.57,1,1
Comedy,81.98,5.23,22.15,171,12,19.5,0,0
Fantasy,54.71,7.91,54.04,130,3,16.05,1,1
Fantasy,45.24,4.49,19.39,114,12,11.69,0,0
Drama,18.93,6.44,57.99,148,10,4.32,0,0
Horror,1.0,4.65,29.57,114,1,8.09,1,0
Romance,35.41,2.67,37.25,179,10,4.17,1,0
Thriller,48.39,7.83,55.48,121,10,13.42,1,1
Horror,103.04,3.95,22.42,101,3,12.92,1,0
Drama,53.91,4.51,62.2,161,7,12.71,0,0
Fantasy,79.48,5.27,41.49,143,10,13.67,1,1
Romance,35.02,9.8,33.24,112,9,16.24,0,1
Sci-Fi,14.45,9.25,39.14,146,11,18.2,1,1
Drama,21.05,2.64,32.82,160,12,6.42,1,0
Drama,28.24,3.52,32.47,109,4,11.89,1,0
Comedy,113.85,9.75,52.06,160,10,7.17,0,1
Thriller,25.36,10.0,85.77,119,2,11.06,1,1
Horror,75.15,6.96,62.42,122,3,2.12,0,1
Action,22.91,6.27,36.45,155,5,10.13,0,0
Thriller,77.95,5.88,40.21,100,11,14.25,1,1
Action,61.55,5.56,20.7,128,10,5.45,0,0
Horror,45.3,3.5,45.45,118,7,4.86,1,0
Comedy,48.78,7.65,41.4,158,4,10.0,0,1
Horror,30.36,4.11,37.59,126,8,5.43,0,0
Comedy,63.38,7.31,61.25,121,6,6.41,0,1
Romance,36.35,6.07,44.85,85,11,6.67,0,0
Action,13.23,8.19,56.51,179,3,8.62,1,1
Romance,11.66,4.63,59.36,178,10,8.04,0,0
Thriller,55.18,3.45,51.25,157,1,9.03,1,0
Sci-Fi,97.37,3.98,54.92,178,7,8.69,1,1
Sci-Fi,54.8,5.96,47.8,100,11,12.84,0,0
Fantasy,46.44,5.69,67.12,158,8,12.93,1,1
Horror,58.57,3.44,63.6,107,12,0.07,0,0
Sci-Fi,89.18,4.93,35.11,164,11,12.57,0,0
Drama,56.58,6.16,76.07,89,11,3.39,1,1
Comedy,37.67,7.41,45.27,148,6,6.13,0,0
Thriller,83.19,5.95,51.5,164,2,10.28,0,1
Horror,62.86,7.4,58.32,104,9,10.12,1,1
Fantasy,96.07,6.08,70.66,138,7,0.9,0,1
Romance,55.5,6.1,61.77,163,5,8.41,1,1
Thriller,13.27,7.0,55.28,81,2,11.71,1,0
Sci-Fi,8.96,3.62,45.23,144,7,0.0,0,0
Comedy,99.53,9.77,25.4,138,9,0.0,1,1
Action,101.71,6.16,74.63,106,4,22.4,1,1
Drama,44.61,5.82,67.25,179,8,14.91,1,1
Romance,38.5,6.5,42.63,97,12,16.91,0,0
Drama,93.84,8.28,61.26,122,6,9.99,0,1
Sci-Fi,16.79,6.83,37.76,106,7,15.85,0,0
Comedy,23.16,7.27,70.87,136,1,19.46,0,1
Fantasy,69.3,6.18,77.6,132,8,11.84,1,1
Horror,38.16,3.84,76.93,123,5,4.02,0,0
Fantasy,49.85,0.81,70.8,151,3,5.68,1,0
Fantasy,45.1,7.66,57.79,157,10,18.91,0,1
Romance,60.13,8.02,75.87,133,12,8.3,1,1
Thriller,92.22,3.6,54.33,153,5,6.59,1,0
Action,52.72,3.37,3.31,150,4,13.48,1,0
Romance,69.32,3.66,31.55,139,8,8.18,0,0
Action,1.0,4.72,28.28,169,6,5.36,0,0
Romance,48.54,4.09,53.12,85,12,7.14,1,0
Thriller,24.7,6.15,68.18,166,12,8.56,0,1
Action,13.44,6.22,43.52,128,5,9.61,0,0
Drama,23.66,5.98,56.94,172,12,13.88,1,1
Horror,39.98,4.82,44.17,175,9,7.17,0,0
Horror,77.48,4.04,77.09,170,3,12.46,0,1
Fantasy,10.21,2.9,51.74,177,12,10.28,0,0
Action,50.92,4.7,23.38,137,8,7.31,0,0
Horror,35.47,7.11,45.68,104,7,9.84,0,0
Horror,40.17,2.6,46.29,167,11,13.2,1,0
Fantasy,80.08,5.7,48.59,146,4,7.25,0,0
Drama,66.14,3.72,38.17,89,12,2.43,1,0
Sci-Fi,90.12,3.23,64.89,107,5,13.77,0,0
Horror,45.36,7.77,77.82,176,2,0.71,0,1
Comedy,29.12,8.3,40.96,166,12,19.46,0,1
Romance,43.28,6.84,36.17,165,6,7.77,0,0
Fantasy,57.27,3.46,47.68,85,4,7.71,0,0
Thriller,55.3,7.52,64.88,143,3,9.66,0,1
Action,17.47,7.33,29.35,173,12,8.02,0,0
Romance,52.71,9.85,76.37,111,9,15.61,1,1
Action,56.85,4.78,41.09,155,6,10.27,0,0
Fantasy,125.52,6.6,39.84,156,1,5.22,0,1
Drama,106.31,4.07,59.41,152,7,16.29,1,1
Action,24.4,2.05,7.85,165,8,10.16,1,0
Comedy,41.38,2.19,69.92,153,5,9.95,1,0
Romance,6.1,5.97,99.34,109,3,18.54,1,1
Sci-Fi,32.28,4.38,85.91,158,5,0.0,1,0
Comedy,59.47,6.9,65.92,94,9,13.01,1,1
Comedy,86.18,7.16,68.7,100,8,4.12,1,1
Drama,28.13,5.9,48.72,179,8,11.86,1,0
Drama,30.38,2.77,49.61,127,8,7.49,1,0
Horror,1.0,3.9,28.0,89,4,1.27,0,0
Drama,45.12,6.34,38.78,85,11,13.24,0,0
Comedy,18.13,6.55,32.76,118,8,15.13,1,0
Horror,34.12,6.57,62.85,83,2,11.21,1,1
Comedy,23.69,7.61,46.35,90,11,14.08,1,1
Sci-Fi,47.17,5.39,43.79,80,12,15.19,1,0
Sci-Fi,1.0,6.29,53.36,142,3,0.0,1,0
Thriller,5.99,6.99,56.49,99,5,0.3,1,0
Drama,113.88,7.81,69.48,136,3,8.79,1,1
Sci-Fi,11.38,5.85,23.19,112,1,10.97,0,0
Drama,17.1,5.78,52.78,153,5,9.66,1,0
Drama,105.11,6.49,71.65,97,12,13.19,0,1
Drama,137.15,5.97,68.87,145,5,16.69,1,1
Romance,14.85,5.33,91.88,173,9,25.22,1,1
Drama,38.95,4.61,47.32,149,11,12.9,0,0
Drama,60.25,2.44,67.06,127,11,18.89,0,0
Horror,101.86,6.94,8.71,172,7,10.49,0,0
Action,20.39,6.8,49.2,100,3,7.63,1,0
Romance,42.64,6.4,44.98,174,3,11.78,1,0
Action,73.32,6.7,73.12,159,5,16.67,0,1
Action,63.04,5.54,64.03,179,7,12.11,0,1
Action,38.72,9.62,36.54,173,1,7.97,0,1
Thriller,45.99,7.65,42.07,131,3,12.13,1,1
Comedy,8.75,9.76,32.37,137,11,8.46,0,0
Thriller,42.85,4.56,67.8,123,7,19.49,1,1
Sci-Fi,42.01,5.77,62.23,130,11,14.52,1,1
Horror,56.97,5.77,8.2,139,4,14.24,1,0
Romance,33.34,8.78,24.01,163,11,14.97,1,1
Horror,64.15,1.75,46.21,152,2,11.55,0,0
Horror,80.38,7.11,68.07,160,5,8.35,0,1
Action,54.66,6.32,16.76,157,8,6.31,0,0
Drama,60.55,8.09,58.07,115,1,13.19,1,1
Thriller,51.59,4.88,35.28,134,7,5.83,1,0
Drama,50.0,2.53,49.22,87,5,8.4,1,0
Thriller,28.35,9.79,53.52,120,1,3.96,1,1
Drama,59.49,5.98,51.46,149,3,12.33,1,1
Romance,47.08,7.91,4.61,90,9,17.19,0,0
Action,112.8,5.39,100.0,156,2,0.0,1,1
Fantasy,97.2,8.28,74.79,176,11,11.1,1,1
Fantasy,61.58,7.55,53.47,128,3,14.94,1,1
Sci-Fi,27.11,8.45,37.44,105,1,8.53,1,0
Comedy,16.63,5.34,53.57,130,4,4.74,1,0
Comedy,85.73,8.71,36.03,107,2,14.02,1,1
Fantasy,57.88,7.06,48.24,101,1,11.08,1,1
Horror,64.4,2.38,72.69,96,3,0.0,0,0
Sci-Fi,1.0,8.73,39.13,175,10,13.4,0,0
Drama,77.82,7.16,57.88,109,3,14.24,0,1
Fantasy,63.63,5.41,70.77,116,4,7.35,1,1
Thriller,16.69,5.75,67.55,126,12,18.36,0,1
Romance,35.85,4.0,52.9,118,8,6.6,1,0
Sci-Fi,57.91,6.31,38.2,112,4,12.46,1,0
Sci-Fi,51.57,7.12,83.65,171,2,2.52,1,1
Comedy,41.23,6.24,79.7,108,8,19.26,1,1
Comedy,46.9,6.47,39.23,125,6,3.77,0,0
Sci-Fi,42.44,4.92,60.39,149,9,22.76,0,1
Comedy,54.58,4.17,32.79,174,9,6.7,0,0
Fantasy,94.14,6.07,39.81,162,12,6.53,0,0
Action,1.0,6.53,84.24,128,8,9.82,1,1
Action,42.89,5.19,39.01,139,3,10.68,1,0
Drama,55.3,6.95,46.72,139,3,5.58,0,0
Comedy,58.88,7.74,59.84,101,6,7.17,0,1
Action,38.84,7.96,51.86,98,1,11.78,0,1
Thriller,1.0,5.03,56.64,88,5,10.44,0,0
Comedy,59.84,2.68,61.58,155,3,8.07,0,0
Fantasy,101.82,6.87,7.63,176,6,4.44,1,0
Comedy,3.98,5.43,60.63,158,10,10.82,1,0
Action,75.91,6.05,51.01,161,1,4.64,1,1
Comedy,40.14,5.04,0.0,138,5,0.0,0,0
Comedy,48.16,9.27,39.04,163,11,13.85,0,1
Sci-Fi,18.41,5.17,66.51,138,9,7.51,0,0
Drama,39.97,9.75,63.11,109,12,2.13,0,1
Horror,89.0,7.56,53.67,93,2,8.55,0,1
Sci-Fi,67.48,8.11,35.98,174,5,11.33,1,1
Comedy,101.97,5.74,59.11,132,3,19.33,0,1
Drama,85.32,4.34,41.46,91,11,10.4,0,0
Fantasy,63.17,7.41,45.72,150,6,27.54,1,1
Horror,102.32,6.69,17.88,105,9,11.81,0,0
Fantasy,63.17,5.0,33.4,123,11,7.3,0,0
Drama,74.84,7.43,68.87,80,8,4.95,0,1
Comedy,41.1,7.18,67.06,146,2,21.39,1,1
Horror,52.0,2.56,42.31,153,9,16.45,1,0
Action,29.08,7.24,26.63,162,7,15.45,1,0
Action,79.69,7.93,71.38,141,10,5.62,0,1
Romance,14.65,2.96,40.43,126,4,7.48,1,0
Thriller,73.47,9.91,75.61,106,12,18.06,1,1
Fantasy,44.28,8.81,51.97,111,6,18.15,0,1
Thriller,85.14,2.57,30.73,169,3,14.39,0,0
Thriller,72.53,5.28,61.92,105,2,7.24,0,0
Sci-Fi,104.62,4.21,42.82,95,11,9.75,0,0
Horror,71.92,3.63,38.92,129,1,16.19,1,0
Horror,2.84,6.63,48.52,172,11,6.74,1,0
Action,47.99,6.3,24.32,86,8,12.94,0,0
Horror,14.84,4.18,59.58,149,11,6.36,0,0
Fantasy,34.45,4.41,38.17,161,8,12.58,1,0
Action,95.34,6.02,10.23,177,9,1.08,0,0
Romance,69.13,6.82,28.85,171,10,6.57,0,0
Drama,29.03,4.35,100.0,172,2,2.62,0,1
Romance,19.59,6.14,44.59,152,9,18.34,1,0
Sci-Fi,50.98,7.11,72.87,133,7,7.18,1,1
Thriller,13.5,7.83,6.65,168,11,15.93,0,0
Romance,29.87,6.59,47.36,150,10,9.13,1,0
Action,59.36,6.32,18.55,97,2,19.94,1,0
Comedy,84.66,5.52,27.28,162,2,0.86,1,0
Thriller,68.26,5.18,39.21,169,8,13.83,0,0
Drama,1.0,6.36,84.03,162,1,14.36,1,1
Horror,59.13,6.19,72.39,173,10,5.17,1,1
Action,52.16,6.83,32.25,121,5,15.1,0,0
Romance,62.42,4.47,57.98,174,7,14.7,1,1
Fantasy,98.49,7.28,51.96,86,6,6.67,0,1
Drama,1.0,2.96,32.27,137,9,6.34,1,0
Sci-Fi,32.27,7.37,8.98,122,3,5.02,1,0
Thriller,67.73,5.58,77.14,121,11,7.89,1,1
Fantasy,2.55,3.74,71.04,178,10,16.41,0,0
Romance,94.28,3.75,51.47,110,8,12.29,0,0
Comedy,61.05,7.1,37.74,149,4,6.12,0,0
Sci-Fi,75.4,6.25,44.97,152,2,4.57,1,0
Fantasy,32.87,6.41,51.69,149,5,17.06,1,1
Horror,74.41,5.62,72.71,133,5,11.33,1,1
Thriller,82.05,5.19,44.84,160,2,1.05,0,0
Fantasy,56.99,6.24,35.64,93,5,13.33,0,0
Comedy,57.03,5.93,55.74,96,1,3.6,0,0
Comedy,58.11,4.47,52.2,130,6,3.02,1,0
Fantasy,24.1,2.64,64.46,180,6,21.45,1,0
Fantasy,45.57,4.6,0.0,132,8,8.43,0,0
Sci-Fi,45.42,6.31,35.49,125,4,9.9,1,0
Drama,61.5,7.65,49.12,165,6,6.8,0,1
Drama,79.99,2.0,20.91,158,5,6.77,1,0
Drama,18.24,4.99,56.12,160,1,20.34,0,0
Horror,46.25,6.42,27.96,159,5,16.68,0,0
Drama,94.44,6.24,39.37,133,2,10.82,0,1
Drama,27.69,6.1,40.17,178,11,0.0,0,0
Fantasy,25.33,4.94,87.23,98,12,10.0,0,1
Drama,56.07,4.44,40.8,171,2,5.47,1,0
Horror,75.33,6.89,61.91,139,8,4.19,0,1
Sci-Fi,50.34,6.45,18.62,118,12,5.52,0,0
Fantasy,89.87,5.84,81.82,154,9,12.2,0,1
Fantasy,75.7,9.99,35.1,119,8,15.23,0,1
Comedy,75.25,8.43,36.17,171,3,4.01,0,1
Sci-Fi,66.62,6.98,39.91,106,8,9.48,1,0
Comedy,119.83,7.85,33.12,114,2,14.09,1,1
Action,43.85,7.29,29.27,98,12,16.09,0,0
Comedy,1.0,5.45,72.49,169,8,4.28,0,0
Action,98.13,3.77,45.36,178,3,16.43,1,1
Fantasy,36.27,7.93,35.82,153,5,6.59,1,0
Action,53.24,5.97,84.13,133,4,6.36,1,1
Horror,89.29,7.8,28.31,155,2,12.04,1,1
Horror,1.93,7.64,53.15,176,9,11.37,0,0
Action,12.45,3.0,9.69,133,12,0.0,1,0
Drama,1.96,7.26,25.0,171,2,12.46,0,0
Horror,26.18,9.47,52.28,130,4,4.28,0,1
Action,63.19,5.64,61.47,139,6,13.64,0,1
Action,65.73,6.7,40.54,137,12,15.61,0,1
Comedy,58.29,8.08,86.14,81,2,15.6,1,1
Drama,7.62,3.07,27.46,97,9,6.13,1,0
Sci-Fi,1.0,1.93,35.63,121,12,15.78,1,0
Comedy,51.63,5.69,33.99,153,3,8.99,0,0
Sci-Fi,35.85,2.87,48.56,120,12,14.53,0,0
Romance,63.78,8.69,81.45,139,6,5.66,0,1
Sci-Fi,71.06,7.72,83.33,133,6,10.64,0,1
Comedy,54.15,8.6,27.25,92,2,14.55,0,1
Comedy,72.8,5.91,27.71,88,8,13.96,1,0
Horror,56.88,8.24,10.04,85,10,9.07,0,0
Romance,65.9,6.19,63.43,152,5,14.93,0,1
Horror,28.86,6.8,77.26,90,4,13.55,0,1
Horror,44.61,10.0,46.06,161,11,14.04,1,1
Horror,55.9,3.49,52.7,90,12,1.89,1,0
Action,74.62,9.48,61.09,101,9,6.21,0,1
Romance,38.19,2.25,25.78,112,5,0.0,0,0
Action,65.64,5.97,47.35,157,8,13.56,1,1
Comedy,42.02,7.12,22.68,84,10,8.02,1,0
Comedy,46.47,5.02,64.56,121,12,5.26,0,0
Action,74.89,6.57,48.1,156,5,7.22,0,1
Fantasy,1.0,6.74,42.77,178,3,12.09,1,0
Drama,11.11,7.24,48.8,144,12,9.02,1,0
Romance,5.53,5.6,38.18,115,11,20.54,0,0
Drama,1.0,4.64,50.92,81,9,12.55,1,0
Action,29.65,6.38,38.37,104,9,13.51,1,0
Action,72.48,5.36,73.72,106,2,11.53,1,1
Comedy,41.45,6.06,21.55,93,7,9.91,1,0
Fantasy,55.93,5.38,82.02,177,4,8.59,1,1
Romance,82.68,6.4,57.15,178,1,8.85,1,1
Romance,89.83,4.79,63.65,128,4,5.77,1,1
Comedy,47.93,5.04,0.0,108,5,4.96,1,0
Horror,90.61,3.78,47.01,100,12,7.66,0,0
Sci-Fi,52.76,6.31,19.82,123,8,14.79,1,0
Thriller,24.88,4.2,51.72,127,9,7.65,0,0
Fantasy,32.17,6.62,17.3,111,4,3.29,1,0
Sci-Fi,5.58,8.04,71.81,167,1,6.92,0,1
Comedy,23.36,9.13,68.89,81,2,4.39,1,1
Comedy,39.26,5.78,53.95,97,3,15.65,0,0
Thriller,74.11,10.0,30.28,99,6,12.23,1,1
Sci-Fi,101.62,7.23,53.79,98,6,15.49,1,1
Horror,8.53,6.26,48.37,83,5,12.2,0,0
Action,61.78,9.88,16.39,100,11,10.24,1,1
Thriller,18.78,4.24,52.84,112,7,9.37,0,0
Drama,64.24,5.97,33.12,169,8,0.06,0,0
Action,46.07,5.41,58.79,168,5,14.88,0,1
Action,1.0,3.42,67.86,161,7,4.09,1,0
Romance,77.85,7.98,28.79,118,7,13.6,1,1
Romance,31.85,6.59,27.09,80,11,9.18,1,0
Drama,33.98,7.34,56.93,100,7,9.34,1,1
Drama,17.91,7.3,24.43,130,9,14.3,0,0
Romance,30.37,2.62,60.59,173,11,9.01,1,0
Drama,62.84,8.39,51.76,162,1,0.92,0,1
Sci-Fi,44.32,4.5,44.23,162,7,0.27,0,0
Drama,59.86,7.96,56.72,156,2,10.91,0,1
Action,60.86,3.5,43.18,156,10,21.76,0,0
Comedy,89.62,6.73,17.8,98,10,14.97,0,0
Comedy,39.72,4.75,30.65,160,10,15.76,1,0
Drama,5.69,6.46,70.43,113,9,8.18,1,0
Drama,82.02,5.69,53.19,133,6,7.36,0,0
Horror,40.06,6.58,64.08,160,3,7.09,1,1
Comedy,83.44,5.55,49.58,124,6,8.44,1,1
Horror,61.5,5.05,36.73,168,7,7.91,1,0
Drama,46.07,8.51,62.3,128,6,8.37,1,1
Romance,60.46,8.5,54.84,169,7,15.52,0,1
Thriller,108.53,9.81,26.83,130,7,10.95,1,1
Fantasy,112.31,6.11,74.89,156,7,11.52,1,1
Fantasy,52.08,5.85,73.05,113,1,7.07,1,1
Action,54.81,6.22,30.38,139,2,10.2,0,0
Action,82.29,4.71,55.17,171,6,15.1,1,1
Comedy,24.63,3.61,65.33,110,5,10.23,0,0
Comedy,59.99,5.0,48.12,148,1,11.13,1,0
Sci-Fi,49.22,4.61,89.79,161,2,16.35,1,1
Sci-Fi,59.42,7.21,42.19,147,10,7.47,0,0
Sci-Fi,25.0,7.65,49.31,142,2,12.95,0,1
Thriller,2.31,2.18,97.1,167,6,12.59,0,0
Drama,1.0,4.5,29.31,146,7,7.66,0,0
Comedy,16.48,6.87,51.24,170,6,1.88,0,0
Action,36.24,6.38,60.53,89,12,14.86,1,1
Drama,41.2,5.68,63.7,159,11,10.63,1,1
Thriller,108.12,5.62,34.58,90,8,6.36,0,0
Action,83.18,6.77,73.26,125,10,14.17,0,1
Sci-Fi,21.14,6.89,48.23,101,12,7.85,1,0
Sci-Fi,60.43,3.48,38.39,131,2,9.47,0,0
Romance,37.79,2.51,68.91,139,9,12.5,1,0
Thriller,41.47,5.92,25.91,113,3,4.42,1,0
Sci-Fi,55.56,7.55,50.25,162,6,0.0,0,0
Comedy,68.58,5.2,45.27,146,5,6.0,0,0
Drama,39.82,10.0,46.29,106,1,8.05,1,1
Comedy,81.92,7.74,67.44,118,8,2.9,0,1
Drama,15.74,5.15,41.25,123,2,9.71,1,0
Horror,50.19,2.62,33.91,155,3,10.74,0,0
Horror,127.93,7.55,27.24,102,4,15.2,1,1
Comedy,56.69,4.41,79.58,117,12,7.65,0,1
Drama,93.0,4.93,14.63,154,12,12.08,1,0
